name,handedness,height,weight,avg
Tom Brown,R,73,170,0
Denny Lemaster,R,73,182,0.13
Joe Nolan,L,71,175,0.263
Denny Doyle,L,69,175,0.25
Jose Cardenal,R,70,150,0.275
Mike Ryan,R,74,205,0.193
Fritz Peterson,B,72,185,0.159
Dick Bertell,R,72,200,0.25
Rod Kanehl,R,73,180,0.241
Ozzie Osborn,R,74,195,0
John LaRose,L,73,185,0
Jeff Byrd,R,75,195,0
Juan Bonilla,R,69,170,0.256
Frank Tepedino,L,71,185,0.241
Jerry Kutzler,L,73,175,0
Rick Wise,R,73,180,0.195
Darrell Evans,L,74,200,0.248
Buck Martinez,R,70,190,0.225
John Wockenfuss,R,72,190,0.262
Tommy McCraw,L,72,183,0.246
Jeff Barkley,B,75,185,0
Eric Wilkins,R,73,190,0
Britt Burns,L,77,215,0
Lee Lacy,R,73,175,0.286
Pete Rose,B,71,192,0.303
Danny Walton,R,72,195,0.223
Bobby Cox,R,71,180,0.225
Brad Wellman,R,72,170,0.231
Jeff Newman,R,74,215,0.224
Pedro Gonzalez,R,72,176,0.244
Nardi Contreras,B,74,193,0
Tommie Reynolds,R,74,190,0.226
Gene Clines,R,69,170,0.277
Jim Hickman,R,75,192,0.252
Jack Billingham,R,76,195,0.111
Jerry Buchek,R,71,185,0.22
Ivan DeJesus,R,71,175,0.254
Gary Nolan,R,74,197,0.138
Gil Patterson,R,73,185,0
Fred Whitfield,L,73,190,0.253
Larry Dierker,R,76,215,0.136
Dave Skaggs,R,74,200,0.241
Dick Ruthven,R,75,190,0.183
Jerry Garvin,L,75,195,0
Steve Eddy,R,74,185,0
Dave Kingman,R,78,210,0.236
Eric Soderholm,R,71,187,0.264
Kevin Mmahat,L,77,220,0
Ed Brinkman,R,72,170,0.224
Wayne Garrett,L,71,175,0.239
Tony Muser,L,74,180,0.259
Jim Siwy,R,76,200,0
Bud Anderson,R,75,210,0
Ted Ford,R,70,180,0.219
Kevin Stanfield,L,72,190,0
Jim Lyttle,L,72,180,0.248
John Butcher,R,76,185,0
Jerry Ujdur,R,73,195,0
Scot Thompson,L,75,195,0.262
Gene Locklear,L,70,165,0.274
Bo Diaz,R,71,185,0.255
Bump Wills,B,69,172,0.266
Brian Denman,R,76,205,0
Pat Putnam,L,72,205,0.255
Kurt Bevacqua,R,72,180,0.236
Bob Fallon,L,75,200,0
Syd O'Brien,R,73,185,0.23
Chris Chambliss,L,73,195,0.279
Tom Satriano,L,73,185,0.225
Jeffrey Leonard,R,74,200,0.266
Dal Maxvill,R,71,157,0.217
Steve Curry,R,78,217,0
Cesar Tovar,R,69,155,0.278
Mickey Lolich,B,73,170,0.11
Ray Chadwick,B,74,180,0
Jack Heidemann,R,72,175,0.211
Rich Rollins,R,70,185,0.269
Walt Bond,L,79,228,0.256
Merv Rettenmund,R,70,190,0.271
Bryan Clutterbuck,R,76,223,0
Byron Browne,R,74,190,0.236
Hector Torres,R,72,175,0.216
Walt Williams,R,66,165,0.27
Jerry Koosman,R,74,205,0.119
Steve Lombardozzi,R,72,175,0.233
Joe Azcue,R,72,190,0.252
Elliott Maddox,R,71,180,0.261
Omar Moreno,L,74,180,0.252
Julian Javier,R,73,175,0.257
Tony Ferreira,L,73,160,0
Elio Chacon,R,69,160,0.232
Rusty Torres,B,70,175,0.212
John Stearns,R,72,185,0.26
Larry Brown,R,70,160,0.233
Tommy Dean,R,72,165,0.18
Bryan Oelkers,L,75,192,0
Kevin Bearse,L,74,195,0
Marty Martinez,B,72,170,0.243
Bruce Boisclair,L,74,185,0.263
Ken Singleton,B,76,210,0.282
Frank White,R,71,165,0.255
Jim Fairey,L,70,190,0.235
Jose Roman,R,72,175,0
Tom Brookens,R,70,165,0.246
Gary Thomasson,L,73,180,0.249
Mike Trujillo,R,73,180,0
Albert Williams,R,76,190,0
Oswaldo Peraza,R,76,172,0
Otto Velez,R,72,170,0.251
Tony Scott,B,72,164,0.249
Ray Oyler,R,71,165,0.175
Barry Cort,R,77,210,0
Floyd Robinson,L,69,175,0.283
Steve Jeltz,B,71,180,0.21
Lou Brock,L,71,170,0.293
Bill Wilkinson,R,70,160,0
Joe Lovitto,B,72,185,0.216
Mike Loynd,R,76,210,0
Wayne Comer,R,70,175,0.229
Dave Collins,B,71,175,0.272
Ed Spiezio,R,71,180,0.238
Rico Petrocelli,R,72,175,0.251
Johnny Lewis,L,73,189,0.227
Dick Simpson,R,76,176,0.207
Ken Boswell,L,72,170,0.248
Ken McMullen,R,75,190,0.248
Randy Scarbery,B,73,185,0
Steve Swisher,R,74,205,0.216
Ben Callahan,R,79,230,0
Dick Howser,R,68,155,0.248
Manny Castillo,B,69,160,0.242
Mike Ramsey,B,73,170,0.24
Willie Crawford,L,73,197,0.268
Bobby Cuellar,R,71,188,0
Willie Norwood,R,72,185,0.242
Mike Jones,L,78,215,0
Jeff Stone,L,72,175,0.277
Ramon Manon,R,72,150,0
Joe Lahoud,L,73,198,0.223
Tim Flannery,L,71,175,0.255
Dave McKay,B,73,195,0.229
